charles craig,donated to,santa barbara museum of art
jonathan and cari markell,bought from,robert olson
gianfranco becchina,owned,antike kunst palladion
abraham trust,partnered,geoffrey jenkinson
fairlight art ventures,bought from,giuliano ruffini
miho museum,bought from,noriyoshi horiuchi
vaman ghiya,owned,artistic imports corporation
metropolitan museum of art,bought from,alan c lapiner
giacomo medici,owned,antiquaria romana
metropolitan museum of art,bought from,leon j buki
metropolitan museum of art,bought from,gianfranco becchina
australian copyright agency,worked with,tiwi artist chris black
fritz b√�rki,owned,atlantis antiquities
j paul getty museum,bought from,dietrich von bothmer
leon levy,donated to,boston museum of fine arts
edward merrin,owned,merrin gallery
art consultancy,bought from,mansur mokhtarzade
art consultancy,bought from,halim korban
two art dealers,occupation,art dealer
fleischman collection,bought from,fritz b√�rki
toledo museum of art,bought from,gianfranco becchina
giacomo medici,owned,tecafin fiduciaire
museum of primitive art,bought from,alan c lapiner
j paul getty museum,bought from,giacomo medici
boston museum of fine arts,bought from,robert hecht
shelby white,donated to,museum of fine arts
museum of primitive art,bought from,leon j buki
j paul getty museum,bought from,robin symes
fairlight art ventures,worked with,giuliano ruffini
j paul getty museum,bought from,frederick schultz
metropolitan museum of art,bought from,giacomo medici
michael ward,owned,michael ward gallery
butterfields,bought from,ong soo hin
thomas bruce 7th earl of elgin,sold to,british government
j paul getty museum,bought from,frieda tchacos
giacomo medici,owned,arts franc
metropolitan museum of art,bought from,juan luis pereira
marquess of northampton,bought from,korban and tkalec
giacomo medici,owned,geneva-based editions services
j paul getty museum,bought from,barbara fleischman
christian boursaud,owned,hydra gallery
j paul getty museum,bought from,maurice tempelsman
nelson rockefeller,donated to,museum of primitive art
british museum,bought from,alistair mcalpine
hunt brothers,bought from,giacomo medici
museum of primitive art,bought from,juan luis pereira
berry & stark associates,bought from,edward merrin
merrin gallery,bought from,gianfranco becchina
giacomo medici,owned,mat securitas
michael rockefeller,donated to,museum of primitive art
