m0dalluy;hassolvent;p1962;1;1
m0bowqek;hassolvent;p1962;2;2
m0bemhux;hassolvent;p16344;1;1
m0dosrin;hassolvent;p13283;1;1
m0dosrin;hassolvent;p16342;1;1
m0aguyik;hassolvent;p11004;1;1
m0bowqek;hassolvent;p114798;7;7
m0aguyik;hassolvent;p1962;1;1
m0dedgif;hassolvent;p16228;1;1
m0ajayam;hassolvent;p16344;1;1
m0cavrey;hassolvent;p16228;2;2
m0ajayam;hassolvent;p1702;11;11
m0ajayam;hassolvent;p1887;1;1
m0ciwdiy;hassolvent;p1139238286;88;88
m0debkom;hassolvent;p1887;1;1
m0debkom;hassolvent;p1962;3;3
m0ciryei;hassolvent;p1962;1;1
m0damwew;hassolvent;p16228;5;5
m0damwew;hassolvent;p1962;1;1
m0adutup;hassolvent;p13776;100;100
m0ajayam;hassolvent;p16342;1;1
m0aqegaf;hassolvent;p1944;14;14
m0cahnef;hassolvent;p16344;5;5
m0avihoe;hassolvent;p1962;1;1
m0damwew;hassolvent;p1944;90;90
m0cahnef;hassolvent;p1313;38;38
m0cahnef;hassolvent;p13283;6;6
m0diszub;hassolvent;p114798;12;12
m0diszub;hassolvent;p1962;1;1
m0dewloj;hassolvent;p1887;1;1
m0dewloj;hassolvent;p16344;3;3
m0doqlut;hassolvent;p1962;1;1
m0doqlut;hassolvent;p114798;1;1
m0doqlut;hassolvent;p16228;12;12
m0aqegaf;hassolvent;p1962;1;1
m0dotyod;hassolvent;p1887;1;1
m0ajasou;hassolvent;p11140;70;70
m0ajasou;hassolvent;p1962;1;1
m0ajasou;hassolvent;p16228;3;3
m0cupyzp03;hassolvent;p1962;2;2
m0cutkim;hassolvent;p1962;1;1
m0cutkim;hassolvent;p18471;2;2
m0difriv;hassolvent;p1962;1;1
m0cetkeu;hassolvent;p1962;1;1
m0avihoe;hassolvent;p16228;6;6
m0avihoe;hassolvent;p1702;17;17
m0dotyod;hassolvent;p16212;83;83
m0cuswap;hassolvent;p1516872;2;2
m0dozquf;hassolvent;p1962;1;1
m0aguyeg;hassolvent;p1962;2;2
m0avujor;hassolvent;p1962;1;1
m0davkiv;hassolvent;p16344;1;1
m0davkiv;hassolvent;p18058;5;5
m0davkiv;hassolvent;p13283;4;4
m0comgiv;hassolvent;p1517045;1;1
m0comgiv;hassolvent;p1702;8;8
m0comgiv;hassolvent;p1962;1;1
m0dazhao;hassolvent;p1702;27;27
m0burbia;hassolvent;p1702;3;3
m0avupox;hassolvent;p1962;1;1
m0avupox;hassolvent;p1222;21;21
m0avupox;hassolvent;p125516;19;19
m0alifor;hassolvent;p18028;20;20
m0alifor;hassolvent;p18003;74;74
m0cocmaj;hassolvent;p18028;21;21
m0bavwec;hassolvent;p1962;1;1
m0bavwec;hassolvent;p123665760;169;169
m0amebax;hassolvent;p114798;2;2
m0amebax;hassolvent;p1962;1;1
m0dozquf;hassolvent;p114797;4;4
m0cahnef;hassolvent;p1887;3;3
m0delboo;hassolvent;p11140;95;95
m0aguyeg;hassolvent;p17045;33;33
m0delboo;hassolvent;p16342;7;7
m0delboo;hassolvent;p16344;4;4
m0doyyew;hassolvent;p1887;4;4
m0doyyew;hassolvent;p1962;1;1
m0cowbat;hassolvent;p1962;1;1
m0cutbea;hassolvent;p16228;1;1
m0cutbea;hassolvent;p1944;4;4
m0besxef;hassolvent;p1887;8;8
m0besxef;hassolvent;p1702;36;36
m0arihis;hassolvent;p1887;5;5
m0arihis;hassolvent;p1180;84;84
m0ajesaj;hassolvent;p1887;9;9
m0ajesaj;hassolvent;p16228;1;1
m0biysae;hassolvent;p1887;1;1
m0biysae;hassolvent;p114797;24;24
m0biysae;hassolvent;p122242641;52;52
m0biysae;hassolvent;p1702;6;6
m0ajiqiu;hassolvent;p1962;1;1
m0cuwmen;hassolvent;p1962;1;1
m0dawwuv;hassolvent;p114798;13;13
m0dawwuv;hassolvent;p1962;1;1
m0dajbew01;hassolvent;p114798;1;1
m0dajbew01;hassolvent;p1962;1;1
m0delboo;hassolvent;p13283;80;80
m0bacmey;hassolvent;p16342;3;3
m0bawqib;hassolvent;p1962;1;1
m0bacmey;hassolvent;p13283;3;3
m0acafit;hassolvent;p16344;1;1
m0acoqit;hassolvent;p13283;16;16
m0acoqit;hassolvent;p111;144;144
m0befjus;hassolvent;p16228;38;38
m0befjus;hassolvent;p1962;1;1
m0cuxfux;hassolvent;p114798;2;2
m0cuxfux;hassolvent;p1962;1;1
m0cuxfux;hassolvent;p1702;22;22
m0dihfad;hassolvent;p1962;9;9
m0dihfad;hassolvent;p114798;16;16
m0dihfad;hassolvent;p1516871;2;2
m0boffae;hassolvent;p1887;1;1
m0boffae;hassolvent;p1962;2;2
m0ciccau;hassolvent;p1962;3;3
m0ciccau;hassolvent;p16344;1;1
m0ciccau;hassolvent;p1180;160;160
m0ciccau;hassolvent;p16342;1;1
m0ciccau;hassolvent;p1702;3;3
m0amozuy;hassolvent;p1313;13;13
m0amozuy;hassolvent;p1962;1;1
m0dabdui;hassolvent;p114798;2;2
m0acafit;hassolvent;p16342;2;2
m0dabdui;hassolvent;p1962;1;1
m0cejbaw;hassolvent;p1962;1;1
m0cikhah;hassolvent;p1962;1;1
m0cuhyub;hassolvent;p1962;1;1
m0cuhyub;hassolvent;p1944;3;3
m0daxluk;hassolvent;p123668193;66;66
m0daxluk;hassolvent;p1887;1;1
m0aguheq;hassolvent;p1702;12;12
m0aguheq;hassolvent;p1962;2;2
m0awosiq;hassolvent;p1962;1;1
m0bosgum;hassolvent;p1962;1;1
m0aduwon;hassolvent;p16228;4;4
m0dawzor;hassolvent;p16342;25;25
m0anedaz;hassolvent;p1702;6;6
m0anedaz;hassolvent;p1313;138;138
m0anedaz;hassolvent;p1887;1;1
m0dodqap;hassolvent;p11118;20;20
m0dodqap;hassolvent;p1962;2;2
m0aroguj;hassolvent;p1887;3;3
m0captar;hassolvent;p1887;1;1
m0afatad;hassolvent;p1887;2;2
m0afatad;hassolvent;p1263;57;57
m0afatad;hassolvent;p16344;23;23
m0afatad;hassolvent;p1962;2;2
m0cikhah;hassolvent;p1944;2;2
m0damkou;hassolvent;p1887;1;1
m0cojvop;hassolvent;p1962;1;1
m0avasev;hassolvent;p114797;22;22
m0duggod;hassolvent;p1313;8;8
m0dubwih02;hassolvent;p1962;1;1
m0dadtuy;hassolvent;p16228;3;3
m0cevyim;hassolvent;p1962;1;1
m0deyhul;hassolvent;p1962;1;1
m0deyhul;hassolvent;p114798;2;2
