camille_oponga;playsfor;red_star_f.c.;camille_oponga;isaffiliatedto;red_star_f.c.;camille_oponga;playsfor;es_viry-châtillon;camille_oponga;playsfor;pau_fc;camille_oponga;playsfor;as_cannes;9.867278;1;16.245335;1;12.49638;6;5.976999153655828;3.186861515045166
ilès_ziane_cherif;isaffiliatedto;mc_saïda;ilès_ziane_cherif;playsfor;mc_saïda;ilès_ziane_cherif;isaffiliatedto;usm_alger;ilès_ziane_cherif;isaffiliatedto;usm_el_harrach;ilès_ziane_cherif;isaffiliatedto;aso_chlef;9.922936;1;15.982647;1;13.405188;6;5.929396736416727;3.1830062866210938
óscar_cardozo;isaffiliatedto;paraguay_national_football_team;óscar_cardozo;isaffiliatedto;s.l._benfica;óscar_cardozo;isaffiliatedto;c.a._newell's_old_boys;óscar_cardozo;isaffiliatedto;club_atlético_3_de_febrero;óscar_cardozo;isaffiliatedto;club_nacional;7.124377;1;14.491402;1;13.668831;5;4.694781777098702;3.172354221343994
óscar_cardozo;isaffiliatedto;paraguay_national_football_team;óscar_cardozo;isaffiliatedto;s.l._benfica;óscar_cardozo;isaffiliatedto;c.a._newell's_old_boys;óscar_cardozo;isaffiliatedto;newell's_old_boys;óscar_cardozo;isaffiliatedto;club_atlético_3_de_febrero;7.124377;1;14.491402;1;13.484535;5;4.732406461852936;3.175795793533325
óscar_cardozo;isaffiliatedto;paraguay_national_football_team;óscar_cardozo;isaffiliatedto;s.l._benfica;óscar_cardozo;isaffiliatedto;newell's_old_boys;óscar_cardozo;isaffiliatedto;club_atlético_3_de_febrero;óscar_cardozo;isaffiliatedto;club_nacional;7.124377;1;14.491402;1;14.028223;5;4.613767965211183;3.1707570552825928
óscar_cardozo;isaffiliatedto;paraguay_national_football_team;óscar_cardozo;isaffiliatedto;s.l._benfica;óscar_cardozo;isaffiliatedto;c.a._newell's_old_boys;óscar_cardozo;isaffiliatedto;newell's_old_boys;óscar_cardozo;isaffiliatedto;club_nacional;7.124377;1;14.491402;1;14.4096775;5;4.520419678003158;3.169313907623291
óscar_cardozo;isaffiliatedto;paraguay_national_football_team;óscar_cardozo;isaffiliatedto;c.a._newell's_old_boys;óscar_cardozo;isaffiliatedto;newell's_old_boys;óscar_cardozo;isaffiliatedto;club_atlético_3_de_febrero;óscar_cardozo;isaffiliatedto;club_nacional;7.124377;1;14.491402;1;14.454146;5;4.509312744677204;3.170285940170288
óscar_cardozo;isaffiliatedto;paraguay_national_football_team;óscar_cardozo;isaffiliatedto;s.l._benfica;óscar_cardozo;isaffiliatedto;c.a._newell's_old_boys;óscar_cardozo;hasgender;male;óscar_cardozo;isaffiliatedto;club_atlético_3_de_febrero;7.124377;1;14.491402;1;12.4101925;4;3.8890633507486236;3.1927413940429688
óscar_cardozo;isaffiliatedto;paraguay_national_football_team;óscar_cardozo;isaffiliatedto;s.l._benfica;óscar_cardozo;hasgender;male;óscar_cardozo;isaffiliatedto;club_atlético_3_de_febrero;óscar_cardozo;isaffiliatedto;club_nacional;7.124377;1;14.491402;1;12.971676;4;3.8204980996354494;3.192110061645508
óscar_cardozo;isaffiliatedto;paraguay_national_football_team;óscar_cardozo;isaffiliatedto;s.l._benfica;óscar_cardozo;hasgender;male;óscar_cardozo;isaffiliatedto;newell's_old_boys;óscar_cardozo;isaffiliatedto;club_atlético_3_de_febrero;7.124377;1;14.491402;1;13.07497;4;3.8047783670976267;3.1925342082977295
óscar_cardozo;isaffiliatedto;paraguay_national_football_team;óscar_cardozo;isaffiliatedto;s.l._benfica;óscar_cardozo;isaffiliatedto;c.a._newell's_old_boys;óscar_cardozo;hasgender;male;óscar_cardozo;isaffiliatedto;club_nacional;7.124377;1;14.491402;1;13.22576;4;3.7799956823646514;3.1907949447631836
