mickey_daniels;actedin;the_big_show_(1923_film);mickey_daniels;actedin;the_champeen;mickey_daniels;actedin;stage_fright_(1923_film);mickey_daniels;actedin;a_quiet_street;;;;0.7477170825004578;0.4404257535934448;1;3
rekha;haswonprize;filmfare_awards;rekha;actedin;vijeta;rekha;hasgender;female;rekha;actedin;zubeidaa;;;;0.9926314353942871;0.9962521195411682;1;1
alexander_hleb;isaffiliatedto;fc_bate_borisov;alexander_hleb;isaffiliatedto;vfb_stuttgart;alexander_hleb;playsfor;fc_bate_borisov;;;;;;;0.7576730251312256;0.007955929264426231;1;18
john_kerr_sr.;isaffiliatedto;new_york_cosmos;john_kerr_sr.;isaffiliatedto;canada_men's_national_soccer_team;;;;;;;;;;0.8603575825691223;0.8534122705459595;1;2
harri_ylönen;isaffiliatedto;finland_national_football_team;harri_ylönen;isaffiliatedto;finland_national_under-21_football_team;harri_ylönen;isaffiliatedto;sk_brann;;;;;;;0.8326293230056763;0.7254822850227356;1;1
giovanni_stroppa;isaffiliatedto;foggia_calcio;giovanni_stroppa;playsfor;foggia_calcio;;;;;;;;;;0.7283835411071777;0.11921478062868118;1;4
ercole_rabitti;isaffiliatedto;a.c._fanfulla_1874;ercole_rabitti;isaffiliatedto;a.s.d._spezia_calcio_2008;;;;;;;;;;0.5455347895622253;0.6828482747077942;1;1
roger_lemerre;isaffiliatedto;france_national_football_team;roger_lemerre;playsfor;france_national_football_team;;;;;;;;;;0.8807466626167297;0.009485610760748386;1;32
fernando_muñoz;isaffiliatedto;spain_national_football_team;fernando_muñoz;playsfor;real_madrid_c.f.;;;;;;;;;;0.9563767313957214;0.940254271030426;1;1
vítor_moreno;isaffiliatedto;c.f._benfica;vítor_moreno;isaffiliatedto;odivelas_f.c.;;;;;;;;;;0.5628823637962341;0.6283094882965088;1;2
wayne_cegielski;isaffiliatedto;wales_national_under-21_football_team;wayne_cegielski;playsfor;wales_national_under-21_football_team;;;;;;;;;;0.91213458776474;0.07662440091371536;1;3
adrie_van_kraay;isaffiliatedto;netherlands_national_football_team;adrie_van_kraay;isaffiliatedto;psv_eindhoven;;;;;;;;;;0.81462562084198;0.8015010952949524;1;1
alo_bärengrub;isaffiliatedto;fc_lelle;alo_bärengrub;playsfor;fc_lelle;;;;;;;;;;0.7591800689697266;0.03272257372736931;1;10
alex_tayo_akande;isaffiliatedto;eastern_aa;alex_tayo_akande;isaffiliatedto;waltham_forest_f.c.;alex_tayo_akande;isaffiliatedto;hong_kong_rangers_fc;;;;;;;0.9548572301864624;0.8865227699279785;1;2
hossein_sadaghiani;isaffiliatedto;r._charleroi_s.c.;hossein_sadaghiani;playsfor;r._charleroi_s.c.;;;;;;;;;;0.812785804271698;0.00019608896400313824;1;723
