billy_halop;actedin;hell's_kitchen_(1939_film);billy_halop;actedin;sea_raiders;billy_halop;actedin;the_angels_wash_their_faces;billy_halop;actedin;on_dress_parade;billy_halop;actedin;crime_school;11.186905;1;15.006285;1;11.876717;20;19.958096056449026;3.1423304080963135
laotian_civil_war;happenedin;north_vietnam;laotian_civil_war;happenedin;kingdom_of_laos;pathet_lao;participatedin;laotian_civil_war;laotian_civil_war;happenedin;south_vietnam;laotian_civil_war;happenedin;laos;9.956257;1;13.460871;1;11.589635;3;2.866601210564455;3.1461005210876465
laotian_civil_war;happenedin;north_vietnam;north_vietnam;participatedin;laotian_civil_war;laotian_civil_war;happenedin;kingdom_of_laos;laotian_civil_war;happenedin;south_vietnam;laotian_civil_war;happenedin;laos;9.956257;1;13.460871;1;11.456293;4;3.8812768632937407;3.1393115520477295
laotian_civil_war;happenedin;north_vietnam;laotian_civil_war;happenedin;kingdom_of_laos;kingdom_of_laos;participatedin;laotian_civil_war;laotian_civil_war;happenedin;south_vietnam;laotian_civil_war;happenedin;laos;9.956257;1;13.460871;1;12.054974;2;1.8031180083667349;3.155158758163452
laotian_civil_war;happenedin;north_vietnam;china;participatedin;laotian_civil_war;laotian_civil_war;happenedin;kingdom_of_laos;laotian_civil_war;happenedin;south_vietnam;laotian_civil_war;happenedin;laos;9.956257;1;13.460871;1;12.16348;4;3.785395554688225;3.161407470703125
laotian_civil_war;happenedin;north_vietnam;laotian_civil_war;happenedin;kingdom_of_laos;laotian_civil_war;happenedin;south_vietnam;soviet_union;participatedin;laotian_civil_war;laotian_civil_war;happenedin;laos;9.956257;1;13.460871;1;12.238949;2;1.7724015949210523;3.1542577743530273
laotian_civil_war;happenedin;north_vietnam;laotian_civil_war;happenedin;kingdom_of_laos;laotian_civil_war;happenedin;thailand;laotian_civil_war;happenedin;south_vietnam;laotian_civil_war;happenedin;laos;9.956257;1;13.460871;1;12.38291;2;1.746107921560589;3.152757167816162
laotian_civil_war;happenedin;north_vietnam;thailand;participatedin;laotian_civil_war;laotian_civil_war;happenedin;kingdom_of_laos;laotian_civil_war;happenedin;south_vietnam;laotian_civil_war;happenedin;laos;9.956257;1;13.460871;1;12.405894;2;1.7417293711075903;3.148787498474121
laotian_civil_war;happenedin;north_vietnam;laotian_civil_war;happenedin;kingdom_of_laos;south_vietnam;participatedin;laotian_civil_war;laotian_civil_war;happenedin;south_vietnam;laotian_civil_war;happenedin;laos;9.956257;1;13.460871;1;12.177167;3;2.783079586220533;3.154229164123535
laotian_civil_war;happenedin;north_vietnam;laotian_civil_war;happenedin;kingdom_of_laos;laotian_civil_war;happenedin;south_vietnam;united_states;participatedin;laotian_civil_war;laotian_civil_war;happenedin;laos;9.956257;1;13.460871;1;12.51505;4;3.7202739326786785;3.1562347412109375
laotian_civil_war;happenedin;north_vietnam;north_vietnam;participatedin;laotian_civil_war;pathet_lao;participatedin;laotian_civil_war;laotian_civil_war;happenedin;south_vietnam;laotian_civil_war;happenedin;laos;9.956257;1;13.460871;1;11.296307;5;4.897021918518805;3.160726547241211
laotian_civil_war;happenedin;north_vietnam;north_vietnam;participatedin;laotian_civil_war;laotian_civil_war;happenedin;kingdom_of_laos;pathet_lao;participatedin;laotian_civil_war;laotian_civil_war;happenedin;south_vietnam;9.956257;1;13.460871;1;11.042029;5;4.918252813995952;3.160015344619751
laotian_civil_war;happenedin;north_vietnam;kingdom_of_laos;participatedin;laotian_civil_war;pathet_lao;participatedin;laotian_civil_war;laotian_civil_war;happenedin;south_vietnam;laotian_civil_war;happenedin;laos;9.956257;1;13.460871;1;11.998396;3;2.8119109007099516;3.1627864837646484
laotian_civil_war;happenedin;north_vietnam;laotian_civil_war;happenedin;kingdom_of_laos;kingdom_of_laos;participatedin;laotian_civil_war;pathet_lao;participatedin;laotian_civil_war;laotian_civil_war;happenedin;south_vietnam;9.956257;1;13.460871;1;11.519231;4;3.8745321931237298;3.1639721393585205
rekha;haswonprize;filmfare_awards;rekha;actedin;vijeta;rekha;hasgender;female;rekha;actedin;umrao_jaan;rekha;wasbornin;chennai;9.7157755;1;13.705394;1;11.5565;1;0.8955653199240688;3.3715851306915283
rekha;haswonprize;filmfare_awards;rekha;hasgender;female;rekha;actedin;khoon_pasina;rekha;actedin;umrao_jaan;rekha;wasbornin;chennai;9.7157755;1;13.705394;1;11.596132;1;0.891800095235939;3.3698651790618896
rekha;haswonprize;filmfare_awards;rekha;hasgender;female;rekha;actedin;umrao_jaan;rekha;actedin;dil_hai_tumhaara;rekha;wasbornin;chennai;9.7157755;1;13.705394;1;11.605094;1;0.8909323177831364;3.371788263320923
rekha;haswonprize;filmfare_awards;rekha;actedin;nagin_(1976_film);rekha;hasgender;female;rekha;actedin;umrao_jaan;rekha;wasbornin;chennai;9.7157755;1;13.705394;1;11.607778;1;0.8906712696554431;3.370159864425659
rekha;haswonprize;filmfare_awards;rekha;actedin;lajja_(film);rekha;hasgender;female;rekha;actedin;umrao_jaan;rekha;wasbornin;chennai;9.7157755;1;13.705394;1;11.582493;1;0.8931091864040677;3.371817111968994
rekha;haswonprize;filmfare_awards;rekha;actedin;vijeta;rekha;hasgender;female;rekha;actedin;khoon_pasina;rekha;wasbornin;chennai;9.7157755;1;13.705394;1;11.742217;1;0.8768763361639994;3.3699052333831787
rekha;haswonprize;filmfare_awards;rekha;actedin;immaan_dharam;rekha;hasgender;female;rekha;actedin;umrao_jaan;rekha;wasbornin;chennai;9.7157755;1;13.705394;1;11.720239;1;0.879229627444631;3.3723340034484863
rekha;haswonprize;filmfare_awards;rekha;actedin;vijeta;rekha;hasgender;female;rekha;actedin;dil_hai_tumhaara;rekha;wasbornin;chennai;9.7157755;1;13.705394;1;11.778667;1;0.872886632419766;3.3697922229766846
rekha;haswonprize;filmfare_awards;rekha;actedin;silsila_(film);rekha;hasgender;female;rekha;actedin;umrao_jaan;rekha;wasbornin;chennai;9.7157755;1;13.705394;1;11.720654;1;0.8791855698901069;3.3675332069396973
rekha;haswonprize;filmfare_awards;rekha;actedin;jaani_dushman;rekha;hasgender;female;rekha;actedin;umrao_jaan;rekha;wasbornin;chennai;9.7157755;1;13.705394;1;11.732323;1;0.877940597024;3.3682568073272705
rekha;haswonprize;filmfare_awards;rekha;actedin;ram_balram;rekha;hasgender;female;rekha;actedin;umrao_jaan;rekha;wasbornin;chennai;9.7157755;1;13.705394;1;11.746348;1;0.8764296067813179;3.3702542781829834
rekha;haswonprize;filmfare_awards;rekha;hasgender;female;rekha;actedin;khoon_pasina;rekha;actedin;dil_hai_tumhaara;rekha;wasbornin;chennai;9.7157755;1;13.705394;1;11.756294;1;0.8753484226957635;3.3686599731445312
rekha;haswonprize;filmfare_awards;rekha;actedin;vijeta;rekha;actedin;nagin_(1976_film);rekha;hasgender;female;rekha;wasbornin;chennai;9.7157755;1;13.705394;1;11.760443;1;0.8748950616199014;3.365138053894043
rekha;haswonprize;filmfare_awards;rekha;actedin;suhaag_(1979_film);rekha;hasgender;female;rekha;actedin;umrao_jaan;rekha;wasbornin;chennai;9.7157755;1;13.705394;1;11.768225;1;0.8740408069924867;3.3677165508270264
rekha;haswonprize;filmfare_awards;rekha;actedin;alaap;rekha;hasgender;female;rekha;actedin;umrao_jaan;rekha;wasbornin;chennai;9.7157755;1;13.705394;1;11.74878;1;0.876165992296978;3.370521068572998
rekha;haswonprize;filmfare_awards;rekha;actedin;lajja_(film);rekha;actedin;vijeta;rekha;hasgender;female;rekha;wasbornin;chennai;9.7157755;1;13.705394;1;11.688216;1;0.8825888495327926;3.37028169631958
rekha;haswonprize;filmfare_awards;rekha;actedin;nagin_(1976_film);rekha;hasgender;female;rekha;actedin;khoon_pasina;rekha;wasbornin;chennai;9.7157755;1;13.705394;1;11.735778;1;0.8775698549683575;3.3714306354522705
