billy_halop;actedin;hell's_kitchen_(1939_film);billy_halop;actedin;sea_raiders;billy_halop;actedin;the_angels_wash_their_faces;billy_halop;actedin;on_dress_parade;billy_halop;actedin;crime_school;11.186914;7.7421613;1;22
laotian_civil_war;happenedin;north_vietnam;north_vietnam;participatedin;laotian_civil_war;laotian_civil_war;happenedin;kingdom_of_laos;pathet_lao;participatedin;laotian_civil_war;laotian_civil_war;happenedin;south_vietnam;9.956245;7.7812037;1;8
rosalyn_sussman_yalow;haswonprize;albert_lasker_award_for_basic_medical_research;rosalyn_sussman_yalow;haswonprize;dickson_prize;rosalyn_sussman_yalow;haswonprize;nobel_prize_in_physiology_or_medicine;;;;;;;9.098927;6.055327;1;8
rekha;haswonprize;filmfare_awards;rekha;actedin;vijeta;rekha;hasgender;female;rekha;actedin;umrao_jaan;rekha;wasbornin;chennai;9.715781;9.234878;1;1
juan_povedano_martínez;isaffiliatedto;umf_selfoss;juan_povedano_martínez;playsfor;umf_selfoss;;;;;;;;;;9.208758;-1.5432504;1;17170
gergő_jeremiás;isaffiliatedto;rákospalotai_eac;gergő_jeremiás;playsfor;rákospalotai_eac;;;;;;;;;;9.692066;4.9753857;1;23
anthony_charles;isaffiliatedto;barnet_f.c.;anthony_charles;playsfor;barnet_f.c.;anthony_charles;isaffiliatedto;england_national_football_c_team;anthony_charles;isaffiliatedto;plymouth_argyle_f.c.;;;;9.982346;5.586604;1;32
doug_gilmour;isaffiliatedto;toronto_maple_leafs;doug_gilmour;isaffiliatedto;st._louis_blues;doug_gilmour;haswonprize;frank_j._selke_trophy;doug_gilmour;isaffiliatedto;cornwall_royals;;;;7.3466187;6.7446966;1;2
davide_succi;isaffiliatedto;a.c._cesena;davide_succi;playsfor;a.c._cesena;davide_succi;isaffiliatedto;ravenna_f.c.;davide_succi;isaffiliatedto;calcio_como;davide_succi;isaffiliatedto;u.s._città_di_palermo;9.905563;6.169984;1;12
petar_borota;isaffiliatedto;f.c._porto;petar_borota;playsfor;f.c._porto;petar_borota;isaffiliatedto;fk_partizan;petar_borota;diedin;genoa;;;;9.646546;5.244884;1;17
paulo_sérgio_betanin;isaffiliatedto;e.c._juventude;paulo_sérgio_betanin;playsfor;esporte_clube_juventude;paulo_sérgio_betanin;isaffiliatedto;esporte_clube_juventude;;;;;;;6.8070574;3.030881;1;135
joe_allon;isaffiliatedto;port_vale_f.c.;joe_allon;playsfor;port_vale_f.c.;;;;;;;;;;10.007121;4.4554024;1;74
lorgio_álvarez;isaffiliatedto;bolivia_national_football_team;lorgio_álvarez;isaffiliatedto;cerro_porteño;lorgio_álvarez;isaffiliatedto;club_atlético_independiente;lorgio_álvarez;isaffiliatedto;club_bolívar;lorgio_álvarez;isaffiliatedto;c.a._independiente;7.527168;7.1773825;1;4
yaroslav_svorak;isaffiliatedto;fc_krymteplytsia_molodizhne;yaroslav_svorak;playsfor;fc_krymteplytsia_molodizhne;yaroslav_svorak;isaffiliatedto;ukraine_national_under-18_football_team;yaroslav_svorak;isaffiliatedto;fc_dnepr_mogilev;yaroslav_svorak;isaffiliatedto;fc_volyn_lutsk;9.899031;4.806447;1;45
manfred_schwabl;isaffiliatedto;1._fc_nuremberg;manfred_schwabl;isaffiliatedto;germany_national_under-21_football_team;manfred_schwabl;isaffiliatedto;1._fc_nürnberg;manfred_schwabl;isaffiliatedto;bayern_munich_junior_team;manfred_schwabl;isaffiliatedto;germany_national_football_team;8.36265;8.631822;1;4
gábor_bardi;isaffiliatedto;zalaegerszegi_te;gábor_bardi;playsfor;zalaegerszegi_te;gábor_bardi;playsfor;apop_kinyras_fc;gábor_bardi;isaffiliatedto;apop_kinyras_fc;;;;9.410546;4.2747645;1;28
imre_deme;isaffiliatedto;hungary_national_under-21_football_team;imre_deme;playsfor;hungary_national_under-21_football_team;imre_deme;isaffiliatedto;hungary_national_under-19_football_team;imre_deme;isaffiliatedto;ferencvárosi_tc;imre_deme;isaffiliatedto;újpest_fc;9.084056;6.5359883;1;5
kevin_mcleod;isaffiliatedto;swansea_city_a.f.c.;kevin_mcleod;playsfor;swansea_city_a.f.c.;;;;;;;;;;10.128949;4.4493365;1;101
andrea_esposito;isaffiliatedto;u.s._lecce;andrea_esposito;playsfor;u.s._lecce;andrea_esposito;isaffiliatedto;genoa_c.f.c.;andrea_esposito;isaffiliatedto;a.s._livorno_calcio;andrea_esposito;isaffiliatedto;bologna_f.c._1909;9.867696;4.9047403;1;10
diego_scotti;isaffiliatedto;club_olimpia;diego_scotti;playsfor;club_olimpia;;;;;;;;;;10.082614;5.1690593;1;60
jirès_kembo_ekoko;isaffiliatedto;al_ain_fc;jirès_kembo_ekoko;playsfor;al_ain_fc;;;;;;;;;;9.140924;2.5994945;1;168
nicole_barnhart;isaffiliatedto;united_states_women's_national_soccer_team;nicole_barnhart;isaffiliatedto;california_storm;nicole_barnhart;isaffiliatedto;philadelphia_independence;nicole_barnhart;isaffiliatedto;fc_gold_pride;nicole_barnhart;isaffiliatedto;fc_kansas_city;10.029227;8.671811;1;3
ryan_johnson_(soccer);isaffiliatedto;toronto_fc;ryan_johnson_(soccer);isaffiliatedto;toronto_f.c.;;;;;;;;;;8.11527;5.3999696;1;39
bobby_campbell_(scottish_footballer);isaffiliatedto;chelsea_f.c.;bobby_campbell_(scottish_footballer);playsfor;chelsea_f.c.;;;;;;;;;;9.461398;4.801174;1;21
héctor_scarone;isaffiliatedto;uruguay_national_football_team;héctor_scarone;playsfor;uruguay_national_football_team;héctor_scarone;isaffiliatedto;club_nacional_de_football;héctor_scarone;isaffiliatedto;u.s._città_di_palermo;héctor_scarone;isaffiliatedto;inter_milan;8.9994335;7.5029297;1;4
raúl_enrique_estévez;isaffiliatedto;unión_española;raúl_enrique_estévez;playsfor;unión_española;;;;;;;;;;9.608419;3.9446564;1;141
attila_polonkai;isaffiliatedto;videoton_fc;attila_polonkai;playsfor;videoton_fc;attila_polonkai;isaffiliatedto;bvsc_budapest;attila_polonkai;isaffiliatedto;vasas_sc;attila_polonkai;isaffiliatedto;újpest_fc;9.833284;6.466687;1;8
mario_esteban_berríos;isaffiliatedto;coquimbo_unido;mario_esteban_berríos;playsfor;coquimbo_unido;;;;;;;;;;9.640746;5.146368;1;22
