01865197;_also_see;00643250;00643250;_also_see;01865197;01865197;_also_see;02331262;02331262;_also_see;01865197;01865197;_also_see;01001689;0.9376714825630188;0.0012053410755470395;1;129
02526934;_derivationally_related_form;15291199;15291199;_derivationally_related_form;02526934;06373747;_derivationally_related_form;02526934;02526934;_derivationally_related_form;06373747;;;;0.9146207571029663;4.8726247769081965e-05;1;4465
01931768;_derivationally_related_form;00815173;00815173;_derivationally_related_form;01931768;01931768;_derivationally_related_form;01144876;01931768;_derivationally_related_form;10151570;;;;0.9312960505485535;0.0021837125532329082;1;298
00302861;_derivationally_related_form;01713348;01713348;_derivationally_related_form;00302861;;;;;;;;;;0.896431028842926;4.730857108370401e-05;1;6557
14641397;_derivationally_related_form;00520881;00520881;_derivationally_related_form;14641397;00184907;_derivationally_related_form;14641397;14641397;_derivationally_related_form;00184907;14641397;_hypernym;14904661;0.8303444385528564;2.2416916181100532e-05;1;16791
01528821;_derivationally_related_form;13496286;13496286;_derivationally_related_form;01528821;01528821;_derivationally_related_form;01052618;01528821;_derivationally_related_form;00677808;01528821;_derivationally_related_form;03563710;0.9257066249847412;8.156878175213933e-05;1;12533
10365984;_derivationally_related_form;02478059;02478059;_derivationally_related_form;10365984;;;;;;;;;;0.9802409410476685;0.00018174774595536292;1;131
00008435;_derivationally_related_form;06878934;06878934;_derivationally_related_form;00008435;00008435;_derivationally_related_form;00117959;00117959;_derivationally_related_form;00008435;;;;0.8170098662376404;3.119141183560714e-05;1;10527
03673767;_derivationally_related_form;01270784;01270784;_derivationally_related_form;03673767;03404900;_hypernym;03673767;03673767;_hyponym;03404900;;;;0.8987579941749573;0.0001153148477897048;1;4183
00030010;_derivationally_related_form;07128060;07128060;_derivationally_related_form;00030010;00030010;_hypernym;00031820;;;;;;;0.9626954793930054;0.0002558005216997117;1;56
01052450;_derivationally_related_form;01528821;01528821;_derivationally_related_form;01052450;;;;;;;;;;0.9741233587265015;0.001956564374268055;1;7
00068333;_derivationally_related_form;00204585;00204585;_derivationally_related_form;00068333;00068333;_derivationally_related_form;00093327;00068333;_derivationally_related_form;00268165;00268165;_derivationally_related_form;00068333;0.9086286425590515;0.003571274457499385;1;30
