moe_howard;actedin;income_tax_sappy;moe_howard;actedin;bedlam_in_paradise;;;;;;;;;;3.2985961;3.6163676;1;3
george_scratchley_brown;diedin;bethesda;george_scratchley_brown;haswonprize;bronze_star_medal;;;;;;;;;;6.859623;7.258919;1;1
aleksei_yuryevich_german;diedin;saint_petersburg;aleksei_yuryevich_german;wasbornin;saint_petersburg;;;;;;;;;;8.26177;10.876904;1;4
joseph_bologna;directed;love_is_all_there_is;renée_taylor;ismarriedto;joseph_bologna;;;;;;;;;;6.5187855;6.035944;1;1
roscoe_b._woodruff;haswonprize;distinguished_service_medal;roscoe_b._woodruff;haswonprize;legion_of_merit;;;;;;;;;;3.8657112;4.622264;1;2
henry_fonda;haswonprize;academy_award_for_best_actor;henry_fonda;haswonprize;tony_award;henry_fonda;haschild;jane_fonda;;;;;;;4.717474;4.493457;1;1
kirill_lavrov;haswonprize;ussr_state_prize;kirill_lavrov;haswonprize;lenin_prize;;;;;;;;;;3.735969;4.8223805;1;1
borys_paton;haswonprize;order_of_the_red_banner_of_labour;borys_paton;haswonprize;order_of_lenin;;;;;;;;;;4.08576;4.983615;1;2
mario_monicelli;haswonprize;david_di_donatello;mario_monicelli;created;big_deal_on_madonna_street;mario_monicelli;wasbornin;rome;;;;;;;6.0764546;6.405673;1;1
errol_mcfarlane;isaffiliatedto;al-mabarrah;errol_mcfarlane;isaffiliatedto;nejmeh_sc;;;;;;;;;;5.9085827;7.5400934;1;67
remo_buess;isaffiliatedto;fc_basel;remo_buess;playsfor;fc_basel;;;;;;;;;;4.647263;5.18151;1;13
maniche;isaffiliatedto;portugal_national_football_team;maniche;playsfor;s.l._benfica;;;;;;;;;;4.9122047;5.537119;1;1
hector_sam;isaffiliatedto;notts_county_f.c.;hector_sam;isaffiliatedto;wrexham_f.c.;;;;;;;;;;6.160883;7.2302923;1;29
frank_mckenna_(footballer);isaffiliatedto;fall_river_marksmen;frank_mckenna_(footballer);isaffiliatedto;new_york_nationals_(asl);;;;;;;;;;4.3674126;5.1282845;1;2
dixie_dean;isaffiliatedto;tranmere_rovers_f.c.;dixie_dean;playsfor;tranmere_rovers_f.c.;dixie_dean;isaffiliatedto;ashton_united_f.c.;;;;;;;4.642655;4.438092;1;2
luis_enrique_(footballer);isaffiliatedto;spain_national_under-21_football_team;luis_enrique_(footballer);hasgender;male;;;;;;;;;;3.423665;5.4195423;1;33
ahmet_kuru;isaffiliatedto;fc_st._pauli;ahmet_kuru;isaffiliatedto;medical_park_antalyaspor;ahmet_kuru;wasbornin;rotenburg_an_der_wümme;;;;;;;5.240331;5.9192667;1;41
daniel_xuereb;isaffiliatedto;france_national_football_team;daniel_xuereb;playsfor;olympique_lyonnais;;;;;;;;;;3.34442;2.7556224;1;1
vasyl_sachko;isaffiliatedto;s.k._tavriya_simferopol;vasyl_sachko;isaffiliatedto;fc_volyn_lutsk;;;;;;;;;;4.8767285;4.9805956;1;1
attila_kuttor;isaffiliatedto;mtk_budapest_fc;attila_kuttor;isaffiliatedto;győri_eto_fc;;;;;;;;;;3.5598722;3.835814;1;6
rasmus_elm;isaffiliatedto;sweden_national_football_team;rasmus_elm;isaffiliatedto;sweden_national_under-17_football_team;;;;;;;;;;5.7192216;5.9889784;1;7
jim_mckenzie_(ice_hockey_b._1969);isaffiliatedto;phoenix_coyotes;jim_mckenzie_(ice_hockey_b._1969);isaffiliatedto;pittsburgh_penguins;;;;;;;;;;4.8719063;4.497715;1;1
kate_gill;isaffiliatedto;perth_glory_fc_w-league;kate_gill;playsfor;perth_glory_fc_w-league;;;;;;;;;;5.4273906;6.5367584;1;4
al_wood;isaffiliatedto;seattle_supersonics;al_wood;isaffiliatedto;los_angeles_clippers;;;;;;;;;;5.2848625;5.288889;1;37
josé_salomón_rondón;isaffiliatedto;málaga_cf;josé_salomón_rondón;isaffiliatedto;u.d._las_palmas;;;;;;;;;;5.7706575;6.2248516;1;3
issam_fayel_al-sinani;isaffiliatedto;al-nasr_sc_(kuwait);issam_fayel_al-sinani;playsfor;al-nasr_sc_(kuwait);;;;;;;;;;5.952958;8.352355;1;9
stanislav_šesták;isaffiliatedto;slovakia_national_under-21_football_team;stanislav_šesták;wasbornin;prešov;;;;;;;;;;5.0759315;5.8466253;1;8
thankgod_amaefule;isaffiliatedto;sharks_f.c.;thankgod_amaefule;playsfor;heartland_f.c.;;;;;;;;;;6.3835144;5.565566;1;1
michal_daněk;isaffiliatedto;fc_baník_ostrava;michal_daněk;playsfor;fk_chmel_blšany;;;;;;;;;;4.069955;4.7927103;1;2
mikael_dahlberg;isaffiliatedto;sweden_national_under-17_football_team;mikael_dahlberg;isaffiliatedto;sweden_national_under-19_football_team;;;;;;;;;;4.5129824;4.149825;1;1
alex_tayo_akande;isaffiliatedto;eastern_aa;alex_tayo_akande;playsfor;eastern_aa;;;;;;;;;;5.3174815;5.4441633;1;2
ney_costa;isaffiliatedto;c.d.s._vida;ney_costa;isaffiliatedto;comayagua_f.c.;;;;;;;;;;5.7281227;5.8882623;1;2
carlos_casteglione;isaffiliatedto;arsenal_de_sarandí;carlos_casteglione;playsfor;club_atlético_tigre;;;;;;;;;;4.5939474;6.6037655;1;6
josh_sole;isaffiliatedto;rugby_viadana;josh_sole;playsfor;rugby_viadana;;;;;;;;;;6.5135746;9.1183195;1;2
josé_manfredi_portillo_hernández;isaffiliatedto;c.d._vista_hermosa;josé_manfredi_portillo_hernández;hasgender;male;;;;;;;;;;5.177749;5.755644;1;2
danijel_brezič;isaffiliatedto;slovenia_national_football_team;danijel_brezič;isaffiliatedto;nk_maribor;;;;;;;;;;4.3086843;4.3032336;1;1
ian_goodison;isaffiliatedto;hull_city_a.f.c.;ian_goodison;playsfor;hull_city_a.f.c.;ian_goodison;isaffiliatedto;tranmere_rovers_f.c.;;;;;;;7.507348;9.331121;1;72
juan_mata;isaffiliatedto;spain_national_under-17_football_team;juan_mata;isaffiliatedto;spain_national_under-19_football_team;;;;;;;;;;3.8524504;4.7681994;1;5
stopira;isaffiliatedto;c.d._santa_clara;stopira;playsfor;videoton_fc;;;;;;;;;;4.920954;5.758132;1;37
ricardo_iribarren;isaffiliatedto;columbus_crew;ricardo_iribarren;isaffiliatedto;estudiantes_de_la_plata;;;;;;;;;;4.918411;5.685383;1;10
krzysztof_kazimierczak;isaffiliatedto;zagłębie_lubin;krzysztof_kazimierczak;playsfor;boavista_f.c.;;;;;;;;;;4.3386087;3.7024229;1;1
bill_mcpherson;isaffiliatedto;fall_river_marksmen;bill_mcpherson;isaffiliatedto;new_york_yankees_(soccer);;;;;;;;;;5.4227324;4.5712137;1;1
debatik_curri;isaffiliatedto;fc_vorskla_poltava;debatik_curri;isaffiliatedto;albania_national_football_team;;;;;;;;;;5.2456164;5.3213673;1;1
vladislav_romanov;isaffiliatedto;pfc_slavia_sofia;vladislav_romanov;playsfor;pfc_slavia_sofia;vladislav_romanov;isaffiliatedto;pfc_lokomotiv_sofia;;;;;;;4.217931;4.9918604;1;3
nerijus_barasa;isaffiliatedto;lithuania_national_football_team;nerijus_barasa;playsfor;fk_kareda_kaunas;nerijus_barasa;isaffiliatedto;heart_of_midlothian_f.c.;;;;;;;5.2594547;4.839398;1;2
miroslav_vajs;isaffiliatedto;macedonia_national_football_team;miroslav_vajs;isaffiliatedto;fk_vardar;;;;;;;;;;3.6759133;5.0472546;1;22
mohammed_ali_karim;isaffiliatedto;erbil_sc;mohammed_ali_karim;playsfor;al-quwa_al-jawiya;;;;;;;;;;4.900054;5.1866617;1;1
arash_borhani;isaffiliatedto;iran_national_football_team;arash_borhani;isaffiliatedto;pas_tehran_f.c.;arash_borhani;playsfor;pas_tehran_f.c.;;;;;;;5.1560864;6.2894325;1;8
donald_w._riegle_jr.;isaffiliatedto;republican_party_(united_states);donald_w._riegle_jr.;graduatedfrom;university_of_michigan;donald_w._riegle_jr.;wasbornin;flint_michigan;donald_w._riegle_jr.;graduatedfrom;harvard_law_school;donald_w._riegle_jr.;graduatedfrom;university_of_michigan–flint;5.297489;6.6769576;1;1
santiago_cañizares;isaffiliatedto;spain_national_football_team;santiago_cañizares;hasgender;male;;;;;;;;;;2.3088956;2.8664265;1;3
stuart_mason;isaffiliatedto;bangor_city_f.c.;stuart_mason;isaffiliatedto;oswestry_town_f.c.;;;;;;;;;;2.6992993;3.3486526;1;8
